,advertiser,devicecategory,count
398,Aerolineas Argentinas,Tablet,3
399,AeroMexico,Desktop,2
400,AeroMexico,Smartphone,8
401,Aeroplan,Desktop,68
402,Aeroplan,Smartphone,37
403,Aeroplan,Tablet,13
404,Aeroports De Montreal,Desktop,12
405,Aeroports De Montreal,Smartphone,1
406,Aerotek,Desktop,1
407,AETN,Desktop,32
408,AETN,Smartphone,1
409,AETN,Tablet,1
410,Aetna,Desktop,2
411,Aetna,Smartphone,153
412,Aetna,Tablet,16
413,Aetrex Worldwide,Desktop,1
414,Affordable Renovating Solutions,Smartphone,12
415,Afibel,Desktop,78
416,Afibel,Smartphone,121
417,Afibel,Tablet,14
418,AGCO,Desktop,2
419,AGCO,Smartphone,3
420,Ageas  SA,Desktop,10
421,Ageas  SA,Smartphone,7
422,Ageas  SA,Tablet,1
423,AgentSelly,Desktop,33
424,AgentSelly,Tablet,7
425,Agenzie Nazzano,Desktop,3
426,Agenzie Nazzano,Smartphone,5
427,Agenzie Nazzano,Tablet,6
428,Age Partnership,Desktop,262
429,Age Partnership,Smartphone,1612
430,Age Partnership,Tablet,1661
431,Age UK,Desktop,236
432,Age UK,Smartphone,505
433,Age UK,Tablet,66
434,Agilent Technologies,Desktop,1
435,Agilent Technologies,Smartphone,106
436,Agilent Technologies,Tablet,3
437,AGL Energy,Desktop,2
438,AGL Energy,Smartphone,11
439,AGL Energy,Tablet,1
440,Agora SA,Desktop,1
441,Agora SA,Smartphone,4
442,Agrokor,Desktop,5
443,Agrokor,Smartphone,24
444,Agrokor,Tablet,10
445,Agrolimen,Tablet,1
446,ahlikolesterol.com,Smartphone,2
447,Ahold Delhaize,Desktop,142
448,Ahold Delhaize,Smartphone,258
449,Ahold Delhaize,Tablet,30
450,AIA Group,Desktop,137
451,AIA Group,Smartphone,74
452,AIA Group,Tablet,14
453,AIG,Desktop,70
454,AIG,Smartphone,502
455,AIG,Tablet,20
456,Airarabia,Desktop,13
457,Airarabia,Smartphone,6
458,Air Arabia Holding,Desktop,3732
459,Air Arabia Holding,Smartphone,709
460,Air Arabia Holding,Tablet,745
461,Air Austral,Desktop,9
462,Air Austral,Smartphone,6
463,Air Austral,Tablet,1
464,Air Baltic,Desktop,66
465,Air Baltic,Smartphone,37
466,Air Baltic,Tablet,9
467,Air Berlin,Desktop,7
468,Airbnb,Desktop,618
469,Airbnb,Smartphone,1969
470,Airbnb,Tablet,71
471,Air Canada,Desktop,32
472,Air Canada,Smartphone,8
473,Air Canada,Tablet,8
474,Air China,Connected TV,1
475,Air China,Desktop,106
476,Air China,Smartphone,1
477,Air China,Tablet,43
478,Air France-KLM Group,Desktop,131
479,Air France-KLM Group,Smartphone,79
480,Air France-KLM Group,Tablet,24
481,Airline Investments,Desktop,1300
482,Airline Investments,Smartphone,692
483,Airline Investments,Tablet,1844
484,Airline Transport Professionals,Smartphone,1
485,Air New Zealand,Desktop,391
486,Air New Zealand,Smartphone,500
487,Air New Zealand,Tablet,105
488,Airpaz,Desktop,6
489,Airpaz,Smartphone,40
490,Airpaz,Tablet,2
491,Airport Home Appliance,Desktop,1
492,Airport Home Appliance,Smartphone,1
493,Air Serbia,Desktop,5
494,Air Serbia,Smartphone,16
495,Air Serbia,Tablet,2
496,A. JAFFE,Desktop,1
497,A. JAFFE,Smartphone,2
498,A. JAFFE,Tablet,2
499,AJ BELL HOLDINGS LTD,Desktop,810
500,AJ BELL HOLDINGS LTD,Smartphone,891
501,AJ BELL HOLDINGS LTD,Tablet,456
502,Ajinomoto,Desktop,3
503,Ajinomoto,Tablet,1
504,AJ Madison,Desktop,16
505,AJ Madison,Smartphone,15
506,AJ Madison,Tablet,1
507,AJM Shopping,Desktop,1
508,Aj Postorder AB,Desktop,50
509,Akamai,Smartphone,3
510,Akamai Technologies,Smartphone,4
511,Akamon Entertainment,Tablet,1
512,AKRON UG (haftungsbeschränkt),Desktop,1
513,AKRON UG (haftungsbeschränkt),Tablet,1
514,Akshaya Patra Foundation,Desktop,402
515,Akshaya Patra Foundation,Smartphone,1
516,Akshaya Patra Foundation,Tablet,18
517,Akzo Nobel,Desktop,339
518,Akzo Nobel,Smartphone,275
519,Akzo Nobel,Tablet,573
520,Alaeo,Desktop,6
521,alagasco,Desktop,1
522,alagasco,Smartphone,4
523,Alain Afflelou Acousticien,Desktop,1
524,Alain Afflelou Acousticien,Smartphone,1
525,Alarm,Smartphone,5
526,Alarm,Tablet,5
527,Alaska Air Group,Smartphone,1
528,Albatros Travel,Desktop,3
529,Albatros Travel,Smartphone,3
530,Albatros Travel,Tablet,2
531,Albee Baby,Smartphone,6
532,Albee Baby,Tablet,1
533,Alberta Blue Cross,Desktop,1
534,Alberta Blue Cross,Smartphone,13
535,Alberta Blue Cross,Tablet,6
536,Alberta Motor Association,Desktop,63
537,Alberta Motor Association,Smartphone,127
538,Alberta Motor Association,Tablet,107
539,Alberta Treasury Branches,Desktop,32
540,Alberta Treasury Branches,Smartphone,51
541,Alberta Treasury Branches,Tablet,12
542,Albertsons Companies LLC,Smartphone,15
543,Albumprinter,Desktop,7
544,Albumprinter,Smartphone,54
545,Albumprinter,Tablet,61
546,Ald Automotive Group,Desktop,3
547,Ald Automotive Group,Smartphone,3
548,Ald Automotive Group,Tablet,4
549,Aldi,Desktop,62
550,Aldi,Smartphone,1225
551,Aldi,Tablet,61
552,Aldo Group,Desktop,51
553,Aldo Group,Smartphone,101
554,Aldo Group,Tablet,17
555,ALEATORY,Desktop,1
556,Alert One Services,Smartphone,3
557,Alex van Groningen Management Consultants BV,Smartphone,1
558,Alex van Groningen Management Consultants BV,Tablet,2
559,Alfabank,Connected TV,1
560,Alfabank,Desktop,85
561,Alfabank,Smartphone,27
562,Alfabank,Tablet,2
563,Alfred Karcher,Desktop,33
564,Alfred Karcher,Smartphone,10
565,Alfred Karcher,Tablet,11
566,Alghanim Industries,Desktop,20
567,Alghanim Industries,Smartphone,1
568,Alghanim Industries,Tablet,1
569,Algonquin College Of Applied Arts & Technology.,Smartphone,2
570,Alibaba Group Holding,Desktop,1883
571,Alibaba Group Holding,Smartphone,7153
572,Alibaba Group Holding,Tablet,215
573,alifca.com,Desktop,8
574,alifca.com,Smartphone,1
575,Align Technology,Desktop,162
576,Align Technology,Smartphone,27
577,Align Technology,Tablet,22
578,Alimentation Couche-Tard,Desktop,32
579,Alimentation Couche-Tard,Smartphone,22
580,Alimentation Couche-Tard,Tablet,2
581,Alinea,Smartphone,1
582,Alinta Energy,Desktop,4
583,Alinta Energy,Smartphone,6
584,Alkermes,Smartphone,1
585,Allan Gray Proprietary,Smartphone,1971
586,Allan Gray Proprietary,Tablet,73
587,Allbirds,Desktop,44
588,Allbirds,Smartphone,83
589,Allbirds,Tablet,13
590,All Canadian Self Storage,Desktop,1
591,All Canadian Self Storage,Smartphone,2
592,All Connect,Desktop,12
593,All Connect,Smartphone,3
594,Allegiant Air,Desktop,10
595,Allegiant Air,Smartphone,16
596,Allegiant Air,Tablet,12
597,Allegra Network,Tablet,1
598,Allegro Group,Desktop,20
599,Allegro Group,Smartphone,34
600,Allegro Group,Tablet,2
601,Allegro Partners,Desktop,1
602,Allegro Partners,Smartphone,1
603,Allergan,Desktop,3
604,Allergan,Smartphone,229
605,Allergan,Tablet,8
606,Aller Media,Desktop,12
607,Aller Media,Smartphone,9
608,Aller Media,Tablet,1
609,Allgäu GmbH,Desktop,16
610,Allgäu GmbH,Smartphone,14
611,AllHeart,Smartphone,1
612,Alliance France,Smartphone,1
613,Alliant Energy,Smartphone,1
614,Alliant Energy,Tablet,1
615,Allianz Group,Connected TV,4
616,Allianz Group,Desktop,3965
617,Allianz Group,Smartphone,4203
618,Allianz Group,Tablet,1745
619,Allied Properties,Desktop,5
620,Allied Properties,Smartphone,10
621,alllocal.net,Smartphone,2
622,Allnatura Vertriebs,Smartphone,1
623,All Nippon Airways,Desktop,76
624,All Nippon Airways,Smartphone,141
625,All Nippon Airways,Tablet,30
626,Allo.ua,Desktop,2
627,Allo.ua,Smartphone,3
628,AllPosters.com,Smartphone,1
629,AllSaints,Smartphone,37
630,AllSaints,Tablet,57
631,All Star Directories,Desktop,2
632,Allstate,Desktop,64
633,Allstate,Smartphone,793
634,Allstate,Tablet,84
635,Alltours Flugreisen,Desktop,2
636,All Web Leads,Smartphone,8
637,All Web Leads,Tablet,1
638,Ally Financial,Desktop,1
639,Ally Financial,Smartphone,25
640,Ally Financial,Tablet,1
641,All You Can Books,Smartphone,26
642,All You Can Books,Tablet,4
643,Al Mashreq Bank,Smartphone,23
644,Almundo,Desktop,3
645,Alpargatas,Desktop,17
646,Alpargatas,Smartphone,14
647,Alpari,Desktop,132
648,Alpari,Smartphone,269
649,Alpari,Tablet,19
650,Alphabet,Connected TV,5
651,Alphabet,Desktop,3120
652,Alphabet,Smartphone,2417
653,Alphabet,Tablet,1024
654,Alpha Industries Inc,Smartphone,1
655,Alpha Media Group,Desktop,1
656,Alpha Private Equity Fund,Desktop,120
657,Alpha Private Equity Fund,Smartphone,496
658,Alpha Private Equity Fund,Tablet,29
659,Alpharooms,Desktop,180
660,Alpharooms,Smartphone,372
661,Alpharooms,Tablet,83
662,Alpine Element,Desktop,21
663,Alpine Element,Smartphone,82
664,Alpine Element,Tablet,46
665,alpinresorts,Desktop,9
666,Alsa Group,Desktop,4
667,Alsa Group,Smartphone,11
668,Alsa Group,Tablet,6
669,Alshaya,Desktop,788
670,Alshaya,Smartphone,413
671,Alshaya,Tablet,72
672,Altarea Cogedim,Desktop,25
673,Altarea Cogedim,Smartphone,10
674,Altarea Cogedim,Tablet,3
675,Al Tayer Group,Desktop,158
676,Al Tayer Group,Smartphone,790
677,Al Tayer Group,Tablet,36
678,Al Tayyar Travel Group,Desktop,38
679,Al Tayyar Travel Group,Smartphone,30
680,Al Tayyar Travel Group,Tablet,28
681,ALT Digital Media Entertainment,Smartphone,11
682,ALT Digital Media Entertainment,Tablet,1
683,Alterego,Desktop,11
684,Alterego,Smartphone,2
685,Alterego,Tablet,1
686,Alteri Investors,Desktop,10
687,Alteri Investors,Smartphone,2
688,Altex Romania,Desktop,40
689,Altex Romania,Smartphone,50
690,Altex Romania,Tablet,5
691,Altice Group,Desktop,125
692,Altice Group,Smartphone,468
693,Altice Group,Tablet,40
694,Altigi,Smartphone,13
695,Altima Dental Group,Smartphone,1
696,Altınbas Holding,Desktop,6
697,Altisource Portfolio Solutions,Desktop,1
698,Altisource Portfolio Solutions,Smartphone,3
699,Altitude Sports-,Desktop,97
700,Altitude Sports-,Smartphone,42
701,Altitude Sports-,Tablet,176
702,Altor Equity Partners,Desktop,2
703,Altor Equity Partners,Smartphone,2
704,Altria Group,Smartphone,1
705,Altus assessments,Desktop,952
706,Altus assessments,Smartphone,291
707,Altus assessments,Tablet,235
708,Alza,Desktop,37
709,Alza,Smartphone,78
710,Alza,Tablet,18
711,Alzheimer's Association,Desktop,1
712,Alzheimer's Association,Smartphone,39
713,Alzheimer's Association,Tablet,4
714,Alzheimer's Society,Desktop,37
715,Alzheimer's Society,Smartphone,65
716,Alzheimer's Society,Tablet,18
717,AMain Performance Hobbies,Desktop,1
718,AMain Performance Hobbies,Smartphone,4
719,amansis,Desktop,6
720,Amara Living,Desktop,300
721,Amara Living,Smartphone,713
722,Amara Living,Tablet,155
723,AMARO,Desktop,28
724,AMARO,Smartphone,13
725,Amazon Corp,Connected TV,6
726,Amazon Corp,Desktop,23627
727,Amazon Corp,Smartphone,130406
728,Amazon Corp,Tablet,16129
729,Ambiente Direct,Desktop,11
730,Ambiente Direct,Smartphone,5
731,Ambre et Valentine,Desktop,6
732,Ambre et Valentine,Smartphone,4
733,AMC Networks,Smartphone,36
734,AMC Networks,Tablet,1
735,American Advisors Group,Desktop,1
736,American Advisors Group,Smartphone,5
737,American Apparel,Smartphone,3
738,American Association of Orthodontists,Desktop,3
739,American Association of Orthodontists,Smartphone,2
740,American Bullion,Desktop,22
741,American Bullion,Smartphone,9
742,American Bullion,Tablet,2
743,American Career College,Smartphone,23
744,American Century Companies,Smartphone,1
745,American Century Companies,Tablet,1
746,American Cruiselines,Desktop,24
747,American Cruiselines,Smartphone,80
748,American Cruiselines,Tablet,10
749,American Dental Association,Desktop,1
750,American Dental Association,Smartphone,10
751,American Dental Association,Tablet,3
752,American Diabetes Association,Desktop,9
753,American Diabetes Association,Smartphone,2
754,American Eagle Outfitters,Desktop,37
755,American Eagle Outfitters,Smartphone,129
756,American Eagle Outfitters,Tablet,6
757,American Express Group,Connected TV,7
758,American Express Group,Desktop,2109
759,American Express Group,Smartphone,2325
760,American Express Group,Tablet,397
761,American Family Insurance,Desktop,12
762,American Family Insurance,Smartphone,194
763,American Family Insurance,Tablet,37
764,American Floor Mats,Desktop,1
765,American Floor Mats,Smartphone,16
766,American Floor Mats,Tablet,1
767,American Greetings Corporation,Desktop,90
768,American Greetings Corporation,Smartphone,241
769,American Greetings Corporation,Tablet,59
770,American Heart Association,Desktop,7
771,American Heart Association,Smartphone,11
772,American Heart Association,Tablet,5
773,American Medical ID,Desktop,5
774,American Medical ID,Smartphone,17
775,American Medical ID,Tablet,16
776,American Musical Supply,Smartphone,2
777,American Petroleum Institute,Smartphone,1
778,American Precious Metals Exchange,Desktop,6
779,American Public University System,Desktop,1
780,American Public University System,Smartphone,20
781,American Public University System,Tablet,1
782,American Senior Communities,Smartphone,1
783,American Society of Clinical Oncology,Desktop,37
784,American Society of Clinical Oncology,Smartphone,20
785,american substance abuse professionals,Smartphone,1
786,American Tire Distributors,Smartphone,1
787,American Writers & Artists,Smartphone,1
788,Ameriprise Financial,Smartphone,2
789,Amer Sports,Desktop,267
790,Amer Sports,Smartphone,403
791,Amer Sports,Tablet,93
792,Amgen,Desktop,116
793,Amgen,Smartphone,36
794,Amgen,Tablet,28
795,Amica Mutual Insurance Company,Desktop,9
796,Amica Mutual Insurance Company,Smartphone,1
797,Amica Mutual Insurance Company,Tablet,7
