,buyer,total_estimated_backfill_revenue,count
153,Cadreon DE w/ DBM,0.005337594022386861,20
154,Cadreon DK w/DBM DO NOT USE,0.06822194527258871,89
155,Cadreon (MENA) w/DBM,0.015992240218244375,20
156,Cadreon MY w/ DBM,0.005491247052280078,48
157,Cadreon NL w/ DBM,0.03590222186178748,86
158,Cadreon US w/Amazon,0.004630954419669388,3
159,Cadreon w/Bid Manager,0.003607148669685702,5
160,Cadreon w/ DBM,7.611150248627319,7234
161,Cadreon w/ DBM AU,1.5825744424408748,1225
162,Cadreon (ZA) w/ DBM,5.91605248786721e-05,1
163,Captify Media w/DBM,9.544461149507228,4537
164,Carrefour (FR) w/ DBM,0.019243604064701398,50
165,Centro,1.1861356568591097,974
166,Clickagy,0.0005916052487867211,2
167,clicksco_rtb,0.00038700843358131337,5
168,Coegi w/ DBM,0.11069262874382209,89
169,Cogo Labs,0.00529158028081456,5
170,Collective Media UK w/DBM,5.356591124264567,1131
171,Conversant,0.0020311780208344087,2
172,Conversant MS - DBM,0.0004995777656421201,2
173,Cossette CA w/Amazon,0.02065359657430975,26
174,Crimson Tangerine,4.283520268862124,9494
175,Crimtan (AU),0.3140717231454771,1463
176,Criteo (AU),8.813050542018681,17661
177,Criteo (BR),0.04932426594363622,283
178,Criteo Europe,14.807513732220919,32324
179,Criteo (IN),0.17597215957765353,788
180,Criteo (IT),0.2962948070933928,857
181,Criteo (JP),0.25573862394114977,421
182,Criteo (MEA),3.775679749911949,6471
183,Criteo (RU),0.10337397881195637,407
184,Criteo (SG),1.554231620980251,2493
185,Criteo (TR),0.04822075781985765,272
186,Criteo (UK),132.29422425054912,273414
187,Criteo (US),9.14105374709913,7967
188,CtrlShift SG w/ DBM,0.00046506745946289454,3
189,CyberAgent Dynalyst,0.007194577164411847,7
190,DAN FR w/DBM,0.8856420958472445,1832
191,Databerries,0.030134892360073603,49
192,DataPoint Media,0.009255335447685592,3
193,Datawrkz w/ DBM,0.0012555178057584856,6
194,DataXu,0.517067917483334,598
195,DataXu EU,0.20553434518994332,272
196,Datmean w/ DBM (ES),0.002524182394823343,6
197,DBM (360i UK),1.4948664992863734,2832
198,DBM (888),2.411389567446328,5046
199,DBM (Acceleration - EMEA),1.9996791497062991,1265
200,DBM (Affiperf ES),0.045045809651368916,279
201,DBM (Affiperf UK),1.8580414580811484,5343
202,DBM (Albert Heijin NL),0.07803684068475174,90
203,DBM (All Response Media),0.6096360620914096,633
204,DBM AUNZ,28.958274152654347,23228
205,DBM (Bol.com NL),0.00035496314927203264,5
206,DBM (booking.com),4.375618415966996,3319
207,DBM (Brainlabs Digital),0.4934998433847931,198
208,DBM (Cadreon IT),0.08776792535333665,70
209,DBM (Cadreon UK),2.200664707872238,2152
210,DBM (Club Med FR),0.14453902236607571,297
211,DBM (Cool Blue),0.3611733610363799,1422
212,DBM (Croud Inc. LTD),0.3460496301903127,234
213,DBM (Danone ES),0.00421354404969209,2
214,DBM (Equimedia),0.1943415025524812,480
215,DBM (Essence),2.034938000860031,512
216,DBM (Gall Gall NL),0.00030237601604654634,1
217,DBM (GroupM IE),5.446211102716189,3877
218,DBM (GSK UK),0.10454568587413673,45
219,DBM (IG Markets),0.20545875118593168,171
220,DBM India,0.7749519321252923,2979
221,DBM Japan,0.018791683388544873,45
222,DBM (JellyFish),6.918234244333785,1706
223,DBM (KLM),0.010547006907536599,24
224,DBM (L'Oréal DACH),0.007492844810675151,15
225,DBM (L'Oreal EMEA),0.0007953803900354804,2
226,DBM (L'Oréal GB),1.054480482133278,318
227,DBM (Maxus UK),0.5722967324794445,110
228,DBM (MEC UK),0.14905001238807447,88
229,DBM (Mediacom UK),10.5170790770136,5032
230,DBM (Mediacom Worldwide),0.483565805248916,545
231,DBM (Mindshare UK),1.9171083121287624,425
232,DBM (Mindshare Worldwide),0.5890818880658544,797
233,DBM (mSix),3.3638230742076365,21947
234,DBM (Neo@Ogilvy EMEA),0.38269300196099687,179
235,DBM (Net Media Planet),0.310395553863433,747
236,DBM (Periscopix Ltd),6.355255294522732,8000
237,DBM (Pernod Ricard),0.043604593531407936,36
238,DBM (Red Media Norway),0.17010622920114185,200
239,DBM SEA,12.113241541675567,18266
240,DBM (Search Star),0.3258216607255467,466
241,DBM (SEAT),1.5076336692247736,929
242,DBM (Sky),20.867156209034277,28116
243,DBM (Space),0.2541971635984777,417
244,DBM (TalkTalk),2.7054305228766347,381
245,DBM (The 7 Stars),1.9809006131010607,1593
246,DBM (Unique Digital - ZipCar),0.06199776505097841,21
247,DBM (Warner Bros EMEA),0.013074475998186534,11
248,DBM (Warner Bros - UK - PHD),2.9861020213583185,1395
249,Delta Projects AB,0.0006047520320930927,1
250,Demandbase w/ Beeswax,0.009978408529536027,6
251,Dept Marketplaces DE w/ Amazon,0.747227009480068,1566
252,Digilant w/MediaMath,0.11950754695074424,135
253,Digitec Galaxus AG w/DBM,0.06201091183428479,194
254,District M,0.47371475618266046,158
255,District m. w/ Beeswax,0.11503024556096807,92
256,Domain Group (AU) w/ DBM,0.030332915783625826,25
257,DoubleClick Bid Manager (Europe),134.00095116281767,200110
258,DQ&A w/DBM,2.6703097129476197,9865
259,DQ&A (ZA) w/DBM,0.3304493284493895,391
260,DV360 (BR),0.9645762044926561,3610
261,DV360_US_Publicis,5.917983421665333,2355
262,DynAdmic,0.023286239931410657,8
263,Easy-Media,0.006188848241474421,15
264,EchoSearch,0.2219390657344251,205
265,Emetriq,0.004166708634163142,6
266,Empower MediaMarketing Inc w/ Beeswax,0.049831238774888174,36
267,eprofessional w/DBM,0.09428462150351372,226
268,Eskimi,8.52387471808569,27038
269,ETARGET (Tailwind EMEA LTD),0.004060712693755521,2
270,Explido DE w/Amazon,0.004220117441345277,6
271,explido w/ DBM,0.0031289344269164357,4
272,Exponential: Tribal Fusion,0.7018574602897796,226
273,extend.tv,0.07849286973069151,64
274,eyeReturn,0.13058946360405882,184
275,Eyeview,0.059449754111412276,8
276,Fairfax Media w/ Invite Media,0.007438614329536369,8
277,FastG8 Inc w/ IPONWEB,0.002142925678938567,3
278,FCB NZ w/ DBM,1.0977826996486395,743
279,Finc3 GmbH DE w/ Amazon,0.012610230212680288,38
280,Fisherman ES w/Amazon,0.028680529456806245,72
281,Flow Digital w/ Invite Media,0.31936083840442175,380
282,Flying Point Digital US w/Amazon,0.0004009768908443331,1
283,Fusio DSP,0.05349590462153925,48
284,Gamned (FR) w/ AppNexus,0.01835373116965137,19
285,Gamned (FR) w/ DBM,0.12371369593482649,1473
286,Genesis Media w/ DBM (MightyHive),0.027117705591261327,16
287,GetBlue,0.02172177271795244,28
288,GET INTENT,0.002168397571594662,5
289,GetIntent USA,0.0006047520320930925,19
290,Goldbach Audience w/ DBM,0.032340265259717435,35
291,Goodway Group,0.44794952592404214,312
292,Goodway Group w/ DBM,0.002889827305531803,2
293,Google AdWords,1097.7411673168267,4414446
294,Google Bid Manager - Canada,4.35170606048062,5712
295,Google: DCLK Bid Manager,54.731663633662215,56325
296,Google: DCLK Bid Manager (China),5.575711026653733,8559
297,Google: Invite Media (2),1.2645677227170093,650
298,Google: Invite Media Direct Marketers,0.013915870129794316,20
299,GroovinAds,0.00012653778932382646,4
300,GroundTruth,0.04682309041959903,83
301,GroupM Connect (TR) w/ DBM,0.00010024422271108328,5
302,GroupM DE w/Amazon,0.004016342300096518,7
303,GroupM DE w/DBM,0.005795266416239921,5
304,GroupM DE w/The Trade Desk,0.02281952912403447,54
305,GroupM (FR) w/ DBM,0.004586584026010383,2
306,GroupM (MENA) w/DBM,0.015643028786668883,22
307,GroupM PBU (MediaCom UK IE),21.876122527360895,2870
308,GroupM UK w/Amazon,0.05901262356647542,108
309,GroupM US w/Amazon,0.07099098650649323,52
310,Havas/Affiperf Sweden w/DBM,0.003269440673503282,3
311,HispaVista S.L with Data Xu,0.0013253600920735847,25
312,Hitch Digital Media (ZA) w/ DBM,0.0025069272417337306,6
313,Hoy AG w/DBM,0.9155633529785896,503
314,Hype Istanbul (TR) w/DBM,0.2287121241590764,1248
315,Ignite Video,0.11802196043712425,70
316,IgnitionOne,0.4083086875595052,270
317,IgnitionOne Brazil w/ DBM,0.004956337306502085,9
318,IgnitionOne Japan w/ DBM,0.132572162861451,258
319,IgnitionOne w/DBM,0.15844092403860702,153
320,IKON AU w/ MediaMath,0.0749350214984047,62
321,Index Exchange (EB),166.27555645665936,417403
322,Infectious Media w/DBM,27.65668673149451,38274
323,Iniciativas de Meios (PT) w/DBM,0.050477896178770326,95
324,InMobi Pte Limited,0.12414343141415352,183
325,inMobi w/ Beeswax,13.848612008072875,17484
326,iotec Global w/Beeswax,0.2908906574805174,575
327,IPG Traffic4U w/DBM,0.45382613806199024,634
328,iPinYou,0.0034288454210930374,10
329,iPromote 2957 w/AppNexus,0.041110813072980576,28
330,iProspect FR w/Amazon,0.017002077510965045,18
331,iProspect  IT w/DBM,0.0010385958812033547,4
332,Jampp NA,0.09048520112797233,278
333,Jellyfish DBM,6.328913249146547,5812
334,Jumpstart Automotive Media,0.003805993767194572,2
335,Just Media w/ MediaMath,0.005975213012745882,2
336,Kepler US w/ Amazon,0.015302855768616517,5
337,Kepler w/ DBM,0.4111681129286411,276
338,Kepler w/Verizon Media DSP,0.33382147836747383,316
339,Kerv Interactive w/ Beeswax,0.010589733953282308,1
340,Knorex,0.38897387768561587,193
341,Komli Media,0.06928272635062156,492
342,Kupona w/ DBM,0.0010780362311224696,2
343,Kyocera Communication Systems,0.007563508770946898,1
344,LBi Vivaki UK w/DBM,0.11393741919862593,107
345,LifeStreet Media,0.04956172971710755,65
346,Liftoff,3.5775642988765823,109099
347,Light Reaction DE w/Amazon,0.0017090818298283053,3
348,Light Reaction New w/AppNexus,0.37127091228962994,62
349,LinkedIn RTB,0.9507794770865758,1213
350,Listenloop w Beeswax,0.057510603573722466,61
351,Live Nation Entertainment Inc.,0.0335103289739845,13
352,LoopMe Media,1.4836358596469055,294
353,Louder (AU) w/ DBM,0.16094374291055752,229
354,Madison Logic,0.010379385420380362,2
355,Magnet Intell w/ Invite Media,1.1602578572684306,1042
356,MainADV,0.0651258778039382,104
357,Manage.com,0.45436679952546477,923
358,Marin Display Bidder,0.3946894417280609,279
359,Marketgid,0.0012292242391457424,6
360,Matiro EU w/Amazon,0.02230926959695592,72
361,Matiro w/ DBM,0.03298938768546953,116
362,mbr-targeting,0.0011717070621803669,7
363,M&C Saatchi Mobile w/DBM 217206623,6.231761807208287,30108
364,Mediacom Holding Ltd w / TradeDesk,0.0004133020001940565,1
365,Mediacom (ZA) w/DBM,0.27120170613131267,35
366,Media Direction w/Adform,0.0014666880126170793,1
367,MEDIA FORCE COMMUNICATIONS (2007) LTD,0.00316837477683555,12
368,Media IQ Digital w/ AppNexus,2.16495147102048,328
369,Media IQ Digital w/DBM,9.97121559571953,18315
370,Media IQ US w/Amazon,0.011540410721124302,6
371,MediaMath,2.149139999072698,1402
372,MediaMath APAC,0.015693972571981074,38
373,MediaMath (EMEA),0.6994384521614073,2311
374,Mediamath Inc. Brazil,0.0005012211135554164,1
375,Mediarithmics,0.0005053294833386575,1
376,Mediasmart,0.1518075501865859,312
377,Mediative - DBM,0.06441430815748084,25
378,Media.ventive GmbH w/ Bidswitch,0.005163399143577436,1
379,Merkle w/ Invite Media,0.4021863949085193,361
380,Meteora - direct,0.02488193075522151,36
381,MicroAd APAC 2,6.573391653185789e-06,1
382,MicroAd (China),0.0014757264261402096,35
383,Microsoft EMEA Hub w/DBM,0.17379390191857907,38
384,MightyHive - DBM - Global,3.9691872533984323,3096
385,MightyHive EMEA w/DBM,0.044915985166218496,125
386,MightyHive US – w/Amazon,0.010090156187640186,5
387,MightyHive w/ DBM AUNZ,0.9549083887187331,2525
388,Mindshare Singapore,0.024984639999802535,51
389,MobiGlobe LTD,0.029406889234483275,98
390,MobPro USD,5.216186765248346,6221
391,Mobvista,0.0023278023191844175,84
392,Mogo Marketing w/ DBM,0.11426362375941528,50
393,Moloco Ads,2.0193648143596774,17854
394,Motive Interactive w/ Beeswax,0.08346892721215315,22
395,Nano Interactive w/ DBM,0.030850570376314203,23
396,Neo@Media World Spain w/ DBM,0.7562046191304065,1135
397,Neo@Ogilvy DE w/ DBM,0.0031946683434482936,4
398,Net Media Planet w/DBM,1.9308105470298282,2599
399,Netmining,0.029448794606272335,12
400,Newsquest w/DBM,0.5394601761499115,1159
401,Next Performance,0.05762399457973993,48
402,Next Performance (US),0.06685550148268271,29
403,Noqoush,0.0004009768908443331,1
404,Ogilvy (ZA) w/DBM,0.13526889678717047,259
405,Ogury w/Beeswax,0.007426289220186645,63
406,OMD ES w/Amazon,0.009807500346553198,36
407,OMD (ES) w/ DBM,0.06367562327045409,212
408,OMD (ES) w/ TTD,0.029643531333997965,59
409,OMD Re-mind-PHD (FR) w/ Amazon,0.008024467860626553,16
410,OMD Re-mind-PHD (FR) w/ DBM,0.02663949134849206,116
411,Omd Walt Disney DE w/Amazon,0.03865072124677579,50
412,OMG Germany w/DBM,0.04266542019895902,43
413,OMG Germany w/The Trade Desk,0.007676078103007706,10
414,OMG IT – w/Amazon,0.000940816680362216,3
415,OMG Switzerland w/DBM,0.09550480732913633,132
416,Omnicom Media Group w/Adform (DK),0.0006762376663214881,4
417,Omnicom Media Group w/ DBM (DK),0.12813183679972398,358
418,Omnicom Media Group w/ DBM (PT),0.5329081480195985,869
419,Omnicom Media Group w/ Invite Media (Europe),8.621282522298422,4873
420,One Tag,0.00041905371789059404,4
421,Online Media Partners w/ DBM,0.007875744874473223,78
422,OpenX (EB),131.73541940443783,301712
423,Optomaton UG w/BidSwitch,0.0005924269227433693,2
424,Optus (Amobee) w/ DBM,0.13377920190376724,140
425,Orange142 w/AppNexus,0.020048844542216657,10
426,Orange FR w/DBM,0.01123063963946792,29
427,Otto Group Media w/ DBM,0.0034954010115815434,3
428,OwnerIQ,0.18162198970356672,128
429,Path GmbH w/DBM,0.0068724809734057426,5
430,PayPerSale.ru,0.0008151005649950379,3
431,Performance Advertising w/Active Agent,0.051292996743765355,155
432,Performance Advertising w/DBM,0.00038783010753796164,1
433,Performics ES w/Amazon,0.009658777360399868,39
434,Performics - Vivaki (ZA) w/ DBM,0.000716499690197251,13
435,Periscope UK w/Amazon,1.1623925662078027,1465
436,P&G/Amnet (ES)  w/ The Trade Desk,0.004732841990293769,6
437,PHD (ES) w/ DBM,0.01060205906263203,35
438,Pilot Hamburg w/The Trade Desk,0.05235213447388492,52
439,pilot w/ Adform,0.006488759235651022,6
440,Pixidis (FR) w/ DBM,1.7900931302361236,2648
441,Platform161,0.00010106589666773149,1
442,Postmedia - DBM,0.5990159262017314,637
443,Prex DE w/Amazon,0.0028791455440953756,3
444,PREX DE w/DBM,0.04214447891044404,151
445,Priceline w/ DBM,0.0017025084381751196,1
446,ProData Feed,0.0023992879534128126,5
447,ProgrammAds w/DBM,0.04604250016078321,274
448,Programmatic Mechanics w/AppNexus,0.02176449976369815,5
449,Programmatic Mechanics w/ DBM,0.026187570672335538,42
450,Programmatic s.r.o. w/DBM,0.00021034853290194524,2
451,Ptarmigan Media Limited w/DBM,0.5992328481262865,282
452,Publicis DE w/The Trade Desk,0.027611531639206904,18
453,Publicis Digitas w/ DBM,0.1291063421123088,63
454,Publicis Digitas w/ The Trade Desk,0.5217933644080179,123
455,Publicis ES w/Amazon,0.0011240499726947698,2
456,Publicis Mediavest w/ DBM,2.545617403330425,1850
457,Publicis Mediavest w/ The Trade Desk,0.3682397570635546,148
458,Publicis Optimedia w/ DBM,0.02542670058847928,29
459,Publicis OptiMedia w/ The Trade Desk,0.009857622457908739,19
460,Publicis Performics w/ DBM,0.025078310830860432,16
461,Publicis PHM w/ The Trade Desk,0.016799124043672932,6
462,Publicis Saatchi w/ DBM,0.05317627345240309,20
463,Publicis Spark w/ DBM,0.029402780864700037,12
464,Publicis Spark w/ The Trade Desk,0.10081282108908386,122
465,Publicis VM1 w/ Verizon Media DSP,0.14301892554627652,78
466,Publicis Zenith w/ DBM,0.36256692006685526,315
467,Publisher Internationale,0.12413767969645698,280
468,PubMatic (EB),210.3730541178335,280288
469,Qantas w/ DBM,0.5712096578347988,142
470,Quantcast,2.5076125178135746,6528
471,Rakuten Marketing (AU),0.0253724701073405,22
472,Realtime Technologies GmbH,0.031701002921445114,14
473,Realtime Technologies GmbH-DE,0.0010418825770299475,5
474,Red Aril,0.20510707473248624,190
475,remerge,0.5296715743043612,1676
476,Resolution Media DE w/Amazon,0.00041412367415070473,1
477,Retail Rocket LLC,0.0002637573400840798,2
478,RhythmOne (EB),28.70469324452336,11435
479,Rightmove w/ DBM,0.2232373105859293,283
480,Rogers - DBM,0.004147810133160234,2
481,Rontar EE,0.02003241106308369,40
482,Rozetka Limited,0.0010714628394692836,4
483,RPA w/ DBM,0.4219780555023051,161
484,RTB House,4.342490165382853,10577
485,RTB House (APAC),1.2995529564431774,2247
486,RTB House (BR),0.30733810507074494,328
487,RTB House (RU),0.23735859920488567,592
488,RTB House (TR),0.018278958839596383,25
489,Rubicon (EB),181.49440181492628,345373
490,Segmento.ru,0.0474360591912586,135
491,SEM (TR) w/ DBM,0.001594047475897554,68
492,Shunfei,0.0037731268089286427,44
493,Sift Media,0.16545144623672967,1361
494,Simplaex,0.023002762416367024,7
495,Simpli.fi,0.2561239890268178,269
496,Smaato (EB),1.1553023416358852,937
497,Smadex,0.09523036822761582,702
498,Smadex USD,0.0024124347367191845,32
499,SMG Vivaki UK-P&G w/TheTradeDesk,0.14620044710641844,161
500,SMG Vivaki UK w/DBM,1.2158851841335152,644
501,SMG Vivaki (ZA) w/DBM,0.014652911668907772,19
502,Snap Incorporated,0.004965375720025215,5
503,Sociomantic (Americas 2),0.1838947398676557,74
504,Sociomantic (EMEA 2),6.074548464060912,2115
505,Sojern DBM Adx,3.7230770048812865,3841
506,So-net Media Networks,0.00035414147531538437,4
507,Sovrn (EB),32.578274624695986,44220
508,Spiceworks w/ Beeswax,0.0014198525970881306,1
509,Splicky EMEA,0.0035110128167578597,14
510,Spotad.co (IL),0.04210257353865498,151
511,Sprout Performance (ZA) w/DBM,0.31861886682156837,2191
512,StackAdapt Inc w/ Bidswitch,0.0018150777702359263,5
513,Starcom CA w/Amazon,0.0007501883224198283,1
514,Stonebird,0.008610321391716736,23
515,Storygize,0.0049497639148489,2
516,SundaySky,0.06377915418899177,9
517,TabMo (FR),0.3917536006809568,266
518,Takeaway w/DBM 278223834,0.06860813203221337,56
519,Tapped Networks_DBM,0.012560929775281395,20
520,Tapsense,0.05023057231781921,30
521,Targetopia (ES) w/ DBM,0.054651178204586655,148
522,target performance w/ Adform,0.0001807682704626092,1
523,target performance w/ DBM,0.031655810853829465,96
524,The Cocktail w/DBM,0.019350421679065668,91
525,The Economist Group w/ DBM,0.00500892443972757,2
526,The Reach Group GmbH w/Adform,0.0030319769000319453,18
527,The Reach Group w/ DBM,0.04004510195120783,428
528,The Science of Digital w/DBM,0.10199192321687406,224
529,The Trade Desk,13.331088061543602,12038
530,Thomas Cook w/DBM,2.3388949175991685,3234
531,Ticketek w/ DBM,0.044908590100608665,107
532,Total Return w/ The Trade Desk,0.013449980996374771,22
533,Tradelab (FR) w/AppNexus,0.004003195516790146,2
534,Tradelab (FR) w/ DBM,0.17531810710816154,415
535,Traffic4u w/Adform,0.001561180517631625,4
536,Traffic Media Solutions- SL (T2O) w/DBM,0.22526848860676368,1040
537,travelaudience,2.2839832687503243,838
538,TravelClick w/DBM,0.5917531500989177,335
539,Triapodi Ltd.,0.10589158781512653,108
540,TripAdvisor w/DBM,0.4684527561642853,383
541,TripleLift (EB),109.11408789883441,153460
542,TTD_US_Publicis,0.610557980270769,322
543,Turk Telecom w/bidswitch,0.020051309564086604,11
544,TVTY w/AppNexus,0.047998905851562634,6
545,UNIFIED w/ DBM,0.050957753769452885,391
546,Unique,0.00024321549116787416,1
547,Universal Mc Cann (IL) w/ DBM,0.04472289178640616,218
548,Universo Online w/ ASAPCODE (BR),0.005828133374505849,16
549,Value Media (PL) w/ DBM,0.01430205688941898,54
550,Varick Media w/ Invite Media,0.05202264321726898,44
551,Varick US w/Amazon,0.002524182394823343,3
552,Vayner Media US w/Amazon,0.03913633055515489,36
553,Verizon Media DSP - APAC,0.059914821570875174,86
554,Verizon Media DSP - EMEA,0.004575080590617309,13
555,Verizon Media DSP - Global,6.373023172161293,7409
556,Vivaki DE w/Amazon,0.0009137014397928248,1
557,Vivaki DE w/DBM,0.2742870918385268,27
558,Vivaki ES w/DBM,0.0823333738040653,213
559,Vivaki FR w/Amazon,0.00149873329692636,1
560,Vivaki FR w/DBM,0.2608272507546722,102
561,Vivaki GR w/DBM,0.010813229269490623,11
562,Vivaki IT w/DBM,0.012236368562405347,142
563,Vivaki NL w/DBM,0.003930888208605102,5
564,Vivaki Norway w/DBM,0.13748330810033743,331
565,Vivaki NO w/Adform,0.013062150888836811,292
566,Vivaki SEA w/ Invite,0.01755999412752919,16
