,buyer,count
0,,881003
1,Aarki AdX,1663
2,Acceleration // DBM,1639
3,Accordant Media,1
4,Accordant Media w/ Invite Media,18
5,Accuen (AE) w/DBM,54
6,Accuen AT w/DBM,6
7,Accuen AU w/ DBM,5574
8,Accuen BE w/DBM,106
9,Accuen Canada w/ DBM,1
10,Accuen EMEA w/DBM,1244
11,Accuen HK w/DBM,23
12,Accuen IE w/ DBM,15710
13,Accuen (IT) w/DBM,16
14,Accuen NL w/Invite (Legacy),524
15,Accuen NO w/ DBM,103
16,Accuen OMD NZ w/ DBM,363
17,Accuen PHD NZ w/ DBM,385
18,Accuen (PL) w/DBM,8
19,Accuen (TR) w/DBM,8
20,Accuen UK w/Amazon,1797
21,Accuen UK w/ The Trade Desk,1772
22,Accuen US w/Amazon,10
23,Accuen w/ Invite Media,1323
24,Accuen w/ The Trade Desk,3
25,Accuen w/ Verizon Media DSP,190
26,Active Agent,688
27,Acuity Ads,321
28,Acuity Ads w/ DBM,5
29,Adara DBM Adx,3786
30,Adara Media,2849
31,Addictive Mobility,25
32,Ad Effectiveness Surveys 2,1231
33,Adelement - INR,201
34,Adello Group AG,151
35,Adelphic Mobile,27
36,Adelphic_US_Publicis,1
37,Adform,3
38,Adform Group 1,458
39,Adform Group 3,2683
40,Adhesive- LLC,2
41,Adhood TR,814
42,Adikteev,122
43,Adizio w/ Iponweb (BS),63
44,Admatic w/DBM (AU),865
45,AdMaxim EMEA,1172
46,Adobe APAC,220
47,Adobe EU,393
48,Adobe NA,1620
49,AdPilot (PL) / Cloud Technologies,1
50,AdPrime w/ Beeswax,3
51,AdReady,12
52,AdRiver,39
53,AdRoll.com 3,4877
54,AdSniper.ru,23
55,Adspend,5
56,AdSwerve // DBM,2915
57,AdTaily w/ DBM,111
58,Adtegrity BPN AdX Account,68
59,advanced STORE,71
60,advanced STORE w/Adform,2271
61,advanced STORE w/ DBM,532
62,Advance Media,122
63,Adxcel,23
64,adXoptdcom w/ DBM,71
65,Adxperience 281945923,1
66,Aegis Media Network UK w/DBM,17020
67,Aegis Media Network w/ Invite Media,311
68,Aegis Media Network w/ Invite Media (AU),555
69,Aegis Media Network w/ Invite Media (Europe),11944
70,Aegis Media Network w/ Mediamath (AU),85
71,Aegis Media Network w/ MediaMath (Europe),2
72,Affec.tv w/AppNexus,2
73,Affiperf BE w/DBM,15
74,Affiperf CA w/ Amazon,26
75,AffiPerf (EMEA) w/ DBM (EUR),98
76,Affiperf NL w/ DBM,12
77,Affiperf UK w/Amazon,4
78,Affiperf US – w/Amazon,6
79,AffiPerf (US) w/ DBM (USD),181
80,AffiPerf w/ MediaMath (USD),335
81,Affle India,7
82,Agency M w/ DBM,440
83,AGrant CN,4
84,AKQA US w/ Amazon,3
85,AKQA w/ DBM,5
86,AKQA w/ TTD,17
87,Amazon APAC,867
88,Amazon.com,14194
89,Amazon EU,119680
90,Amnet Canada w/ Amazon,1
91,Amnet Canada w/ Invite,87
92,Amnet Canada w/ The Trade Desk,17
93,Amnet Canada w/ Verizon Media DSP,13
94,Amnet DE w/ DBM,1
95,Amnet DE w/ The Trade Desk,1
96,Amnet ES w/Amazon,22
97,Amnet ES w/ DBM,54
98,Amnet FR w/DBM,316
99,Amnet HK w/ DBM,388
100,Amnet India w/ DBM,21
101,Amnet India w/ MediaMath,5
102,Amnet (IT) w/DBM,511
103,Amnet NL w/Amazon,54
104,Amnet NL w/DBM,159
105,Amnet Nordics w/DBM,235
106,Amnet RU w/DBM,22
107,Amnet SEA w/ DBM,214
108,Amnet SEA w/ TTD,117
109,AMNET (TR) w/ DBM,9
110,AMNET TW w/DBM,10
111,AMNET (UAE) w. DBM,78
112,AMNET (UAE) w/ MediaMath,22
113,Amnet UK w/Amazon,1435
114,Amnet US w/Amazon,49
115,Amnet w/ TTD AU,37
116,Amnet w/ TTD P&G,305
117,AMNET (ZA) w/DBM,3047
118,Amobee,586
119,Amobee APAC,1460
120,Amobee EMEA,658
121,A.Mob (FR),2
122,Annalect Media India Private Limited,574
123,Appier PC,6
124,Appier TW,59
125,AppNexus,424
126,Artefact H&H Group FR w/Amazon,9
127,Assembly Media with DBM,68
128,Assembly US w/ Amazon,2
129,Associated Newspapers w/DBM,724
130,AstroMotion Games Limited,118
131,Audience2Media w/DBM,4047
132,Avocet w/IPonWeb,1
133,BannerConnect w/DBM,40
134,Beamly US w/ Amazon,1
135,Beamly w/ DBM - US,22
136,Beeswax.io,641
137,Bidease Inc.,15
138,Bidtellect OpenRTB,17
139,Bidtellect (self bidder),21
140,Biga Bid Media,10
141,BlisMobile,2473
142,Blue449 Vivaki UK w/DBM,1576
143,Blue Mango Interactive w/ DBM,473
144,Bmind w/ DBM,8
145,BPNWW (UAE) w/ DBM,1
146,BRAVONEXT SA w/ DBM,3
147,Bridgewell,11
148,Bulbit,105
149,Cadreon BE w/ DBM,75
150,Cadreon CA w/Amazon,83
151,Cadreon CEE w/ DBM,38
152,Cadreon DE w/Amazon,8
153,Cadreon DE w/ DBM,20
154,Cadreon DK w/DBM DO NOT USE,89
155,Cadreon (MENA) w/DBM,20
156,Cadreon MY w/ DBM,48
157,Cadreon NL w/ DBM,86
158,Cadreon US w/Amazon,3
159,Cadreon w/Bid Manager,5
160,Cadreon w/ DBM,7234
161,Cadreon w/ DBM AU,1225
162,Cadreon (ZA) w/ DBM,1
163,Captify Media w/DBM,4537
164,Carrefour (FR) w/ DBM,50
165,Centro,974
166,Clickagy,2
167,clicksco_rtb,5
168,Coegi w/ DBM,89
169,Cogo Labs,5
170,Collective Media UK w/DBM,1131
171,Conversant,2
172,Conversant MS - DBM,2
173,Cossette CA w/Amazon,26
174,Crimson Tangerine,9494
175,Crimtan (AU),1463
176,Criteo (AU),17661
177,Criteo (BR),283
178,Criteo Europe,32324
179,Criteo (IN),788
180,Criteo (IT),857
181,Criteo (JP),421
182,Criteo (MEA),6471
183,Criteo (RU),407
184,Criteo (SG),2493
185,Criteo (TR),272
186,Criteo (UK),273414
187,Criteo (US),7967
188,CtrlShift SG w/ DBM,3
189,CyberAgent Dynalyst,7
190,DAN FR w/DBM,1832
191,Databerries,49
192,DataPoint Media,3
193,Datawrkz w/ DBM,6
194,DataXu,598
195,DataXu EU,272
196,Datmean w/ DBM (ES),6
197,DBM (360i UK),2832
198,DBM (888),5046
199,DBM (Acceleration - EMEA),1265
200,DBM (Affiperf ES),279
201,DBM (Affiperf UK),5343
202,DBM (Albert Heijin NL),90
203,DBM (All Response Media),633
204,DBM AUNZ,23228
205,DBM (Bol.com NL),5
206,DBM (booking.com),3319
207,DBM (Brainlabs Digital),198
208,DBM (Cadreon IT),70
209,DBM (Cadreon UK),2152
210,DBM (Club Med FR),297
211,DBM (Cool Blue),1422
212,DBM (Croud Inc. LTD),234
213,DBM (Danone ES),2
214,DBM (Equimedia),480
215,DBM (Essence),512
216,DBM (Gall Gall NL),1
217,DBM (GroupM IE),3877
218,DBM (GSK UK),45
219,DBM (IG Markets),171
220,DBM India,2979
221,DBM Japan,45
222,DBM (JellyFish),1706
223,DBM (KLM),24
224,DBM (L'Oréal DACH),15
225,DBM (L'Oreal EMEA),2
226,DBM (L'Oréal GB),318
227,DBM (Maxus UK),110
228,DBM (MEC UK),88
229,DBM (Mediacom UK),5032
230,DBM (Mediacom Worldwide),545
231,DBM (Mindshare UK),425
232,DBM (Mindshare Worldwide),797
233,DBM (mSix),21947
234,DBM (Neo@Ogilvy EMEA),179
235,DBM (Net Media Planet),747
236,DBM (Periscopix Ltd),8000
237,DBM (Pernod Ricard),36
238,DBM (Red Media Norway),200
239,DBM SEA,18266
240,DBM (Search Star),466
241,DBM (SEAT),929
242,DBM (Sky),28116
243,DBM (Space),417
244,DBM (TalkTalk),381
245,DBM (The 7 Stars),1593
246,DBM (Unique Digital - ZipCar),21
247,DBM (Warner Bros EMEA),11
248,DBM (Warner Bros - UK - PHD),1395
249,Delta Projects AB,1
250,Demandbase w/ Beeswax,6
251,Dept Marketplaces DE w/ Amazon,1566
252,Digilant w/MediaMath,135
253,Digitec Galaxus AG w/DBM,194
254,District M,158
255,District m. w/ Beeswax,92
256,Domain Group (AU) w/ DBM,25
257,DoubleClick Bid Manager (Europe),200110
258,DQ&A w/DBM,9865
259,DQ&A (ZA) w/DBM,391
260,DV360 (BR),3610
261,DV360_US_Publicis,2355
262,DynAdmic,8
263,Easy-Media,15
264,EchoSearch,205
265,Emetriq,6
266,Empower MediaMarketing Inc w/ Beeswax,36
267,eprofessional w/DBM,226
268,Eskimi,27038
269,ETARGET (Tailwind EMEA LTD),2
270,Explido DE w/Amazon,6
271,explido w/ DBM,4
272,Exponential: Tribal Fusion,226
273,extend.tv,64
274,eyeReturn,184
275,Eyeview,8
276,Fairfax Media w/ Invite Media,8
277,FastG8 Inc w/ IPONWEB,3
278,FCB NZ w/ DBM,743
279,Finc3 GmbH DE w/ Amazon,38
280,Fisherman ES w/Amazon,72
281,Flow Digital w/ Invite Media,380
282,Flying Point Digital US w/Amazon,1
283,Fusio DSP,48
284,Gamned (FR) w/ AppNexus,19
285,Gamned (FR) w/ DBM,1473
286,Genesis Media w/ DBM (MightyHive),16
287,GetBlue,28
288,GET INTENT,5
289,GetIntent USA,19
290,Goldbach Audience w/ DBM,35
291,Goodway Group,312
292,Goodway Group w/ DBM,2
293,Google AdWords,4414446
294,Google Bid Manager - Canada,5712
295,Google: DCLK Bid Manager,56325
296,Google: DCLK Bid Manager (China),8559
297,Google: Invite Media (2),650
298,Google: Invite Media Direct Marketers,20
299,GroovinAds,4
300,GroundTruth,83
301,GroupM Connect (TR) w/ DBM,5
302,GroupM DE w/Amazon,7
303,GroupM DE w/DBM,5
304,GroupM DE w/The Trade Desk,54
305,GroupM (FR) w/ DBM,2
306,GroupM (MENA) w/DBM,22
307,GroupM PBU (MediaCom UK IE),2870
308,GroupM UK w/Amazon,108
309,GroupM US w/Amazon,52
310,Havas/Affiperf Sweden w/DBM,3
311,HispaVista S.L with Data Xu,25
312,Hitch Digital Media (ZA) w/ DBM,6
313,Hoy AG w/DBM,503
314,Hype Istanbul (TR) w/DBM,1248
315,Ignite Video,70
316,IgnitionOne,270
317,IgnitionOne Brazil w/ DBM,9
318,IgnitionOne Japan w/ DBM,258
319,IgnitionOne w/DBM,153
320,IKON AU w/ MediaMath,62
321,Index Exchange (EB),417403
322,Infectious Media w/DBM,38274
323,Iniciativas de Meios (PT) w/DBM,95
324,InMobi Pte Limited,183
325,inMobi w/ Beeswax,17484
326,iotec Global w/Beeswax,575
327,IPG Traffic4U w/DBM,634
328,iPinYou,10
329,iPromote 2957 w/AppNexus,28
330,iProspect FR w/Amazon,18
331,iProspect  IT w/DBM,4
332,Jampp NA,278
333,Jellyfish DBM,5812
334,Jumpstart Automotive Media,2
335,Just Media w/ MediaMath,2
336,Kepler US w/ Amazon,5
337,Kepler w/ DBM,276
338,Kepler w/Verizon Media DSP,316
339,Kerv Interactive w/ Beeswax,1
340,Knorex,193
341,Komli Media,492
342,Kupona w/ DBM,2
343,Kyocera Communication Systems,1
344,LBi Vivaki UK w/DBM,107
345,LifeStreet Media,65
346,Liftoff,109099
347,Light Reaction DE w/Amazon,3
348,Light Reaction New w/AppNexus,62
349,LinkedIn RTB,1213
350,Listenloop w Beeswax,61
351,Live Nation Entertainment Inc.,13
352,LoopMe Media,294
353,Louder (AU) w/ DBM,229
354,Madison Logic,2
355,Magnet Intell w/ Invite Media,1042
356,MainADV,104
357,Manage.com,923
358,Marin Display Bidder,279
359,Marketgid,6
360,Matiro EU w/Amazon,72
361,Matiro w/ DBM,116
362,mbr-targeting,7
363,M&C Saatchi Mobile w/DBM 217206623,30108
364,Mediacom Holding Ltd w / TradeDesk,1
365,Mediacom (ZA) w/DBM,35
366,Media Direction w/Adform,1
367,MEDIA FORCE COMMUNICATIONS (2007) LTD,12
368,Media IQ Digital w/ AppNexus,328
369,Media IQ Digital w/DBM,18315
370,Media IQ US w/Amazon,6
371,MediaMath,1402
372,MediaMath APAC,38
373,MediaMath (EMEA),2311
374,Mediamath Inc. Brazil,1
375,Mediarithmics,1
376,Mediasmart,312
377,Mediative - DBM,25
378,Media.ventive GmbH w/ Bidswitch,1
379,Merkle w/ Invite Media,361
380,Meteora - direct,36
381,MicroAd APAC 2,1
382,MicroAd (China),35
383,Microsoft EMEA Hub w/DBM,38
384,MightyHive - DBM - Global,3096
385,MightyHive EMEA w/DBM,125
386,MightyHive US – w/Amazon,5
387,MightyHive w/ DBM AUNZ,2525
388,Mindshare Singapore,51
389,MobiGlobe LTD,98
390,MobPro USD,6221
391,Mobvista,84
392,Mogo Marketing w/ DBM,50
393,Moloco Ads,17854
394,Motive Interactive w/ Beeswax,22
395,Nano Interactive w/ DBM,23
396,Neo@Media World Spain w/ DBM,1135
397,Neo@Ogilvy DE w/ DBM,4
398,Net Media Planet w/DBM,2599
399,Netmining,12
400,Newsquest w/DBM,1159
401,Next Performance,48
402,Next Performance (US),29
403,Noqoush,1
404,Ogilvy (ZA) w/DBM,259
405,Ogury w/Beeswax,63
406,OMD ES w/Amazon,36
407,OMD (ES) w/ DBM,212
408,OMD (ES) w/ TTD,59
409,OMD Re-mind-PHD (FR) w/ Amazon,16
410,OMD Re-mind-PHD (FR) w/ DBM,116
411,Omd Walt Disney DE w/Amazon,50
412,OMG Germany w/DBM,43
413,OMG Germany w/The Trade Desk,10
414,OMG IT – w/Amazon,3
415,OMG Switzerland w/DBM,132
416,Omnicom Media Group w/Adform (DK),4
417,Omnicom Media Group w/ DBM (DK),358
418,Omnicom Media Group w/ DBM (PT),869
419,Omnicom Media Group w/ Invite Media (Europe),4873
420,One Tag,4
421,Online Media Partners w/ DBM,78
422,OpenX (EB),301712
423,Optomaton UG w/BidSwitch,2
424,Optus (Amobee) w/ DBM,140
425,Orange142 w/AppNexus,10
426,Orange FR w/DBM,29
427,Otto Group Media w/ DBM,3
428,OwnerIQ,128
429,Path GmbH w/DBM,5
430,PayPerSale.ru,3
431,Performance Advertising w/Active Agent,155
432,Performance Advertising w/DBM,1
433,Performics ES w/Amazon,39
434,Performics - Vivaki (ZA) w/ DBM,13
435,Periscope UK w/Amazon,1465
436,P&G/Amnet (ES)  w/ The Trade Desk,6
437,PHD (ES) w/ DBM,35
438,Pilot Hamburg w/The Trade Desk,52
439,pilot w/ Adform,6
440,Pixidis (FR) w/ DBM,2648
441,Platform161,1
442,Postmedia - DBM,637
443,Prex DE w/Amazon,3
444,PREX DE w/DBM,151
445,Priceline w/ DBM,1
446,ProData Feed,5
447,ProgrammAds w/DBM,274
448,Programmatic Mechanics w/AppNexus,5
449,Programmatic Mechanics w/ DBM,42
450,Programmatic s.r.o. w/DBM,2
451,Ptarmigan Media Limited w/DBM,282
452,Publicis DE w/The Trade Desk,18
453,Publicis Digitas w/ DBM,63
454,Publicis Digitas w/ The Trade Desk,123
455,Publicis ES w/Amazon,2
456,Publicis Mediavest w/ DBM,1850
457,Publicis Mediavest w/ The Trade Desk,148
458,Publicis Optimedia w/ DBM,29
459,Publicis OptiMedia w/ The Trade Desk,19
460,Publicis Performics w/ DBM,16
461,Publicis PHM w/ The Trade Desk,6
462,Publicis Saatchi w/ DBM,20
463,Publicis Spark w/ DBM,12
464,Publicis Spark w/ The Trade Desk,122
465,Publicis VM1 w/ Verizon Media DSP,78
466,Publicis Zenith w/ DBM,315
467,Publisher Internationale,280
468,PubMatic (EB),280288
469,Qantas w/ DBM,142
470,Quantcast,6528
471,Rakuten Marketing (AU),22
472,Realtime Technologies GmbH,14
473,Realtime Technologies GmbH-DE,5
474,Red Aril,190
475,remerge,1676
476,Resolution Media DE w/Amazon,1
477,Retail Rocket LLC,2
478,RhythmOne (EB),11435
479,Rightmove w/ DBM,283
480,Rogers - DBM,2
481,Rontar EE,40
482,Rozetka Limited,4
483,RPA w/ DBM,161
484,RTB House,10577
485,RTB House (APAC),2247
486,RTB House (BR),328
487,RTB House (RU),592
488,RTB House (TR),25
489,Rubicon (EB),345373
490,Segmento.ru,135
491,SEM (TR) w/ DBM,68
492,Shunfei,44
493,Sift Media,1361
494,Simplaex,7
495,Simpli.fi,269
496,Smaato (EB),937
497,Smadex,702
498,Smadex USD,32
499,SMG Vivaki UK-P&G w/TheTradeDesk,161
500,SMG Vivaki UK w/DBM,644
501,SMG Vivaki (ZA) w/DBM,19
502,Snap Incorporated,5
503,Sociomantic (Americas 2),74
504,Sociomantic (EMEA 2),2115
505,Sojern DBM Adx,3841
506,So-net Media Networks,4
507,Sovrn (EB),44220
508,Spiceworks w/ Beeswax,1
509,Splicky EMEA,14
510,Spotad.co (IL),151
511,Sprout Performance (ZA) w/DBM,2191
512,StackAdapt Inc w/ Bidswitch,5
513,Starcom CA w/Amazon,1
514,Stonebird,23
515,Storygize,2
516,SundaySky,9
517,TabMo (FR),266
518,Takeaway w/DBM 278223834,56
519,Tapped Networks_DBM,20
520,Tapsense,30
521,Targetopia (ES) w/ DBM,148
522,target performance w/ Adform,1
523,target performance w/ DBM,96
524,The Cocktail w/DBM,91
525,The Economist Group w/ DBM,2
526,The Reach Group GmbH w/Adform,18
527,The Reach Group w/ DBM,428
528,The Science of Digital w/DBM,224
529,The Trade Desk,12038
530,Thomas Cook w/DBM,3234
531,Ticketek w/ DBM,107
532,Total Return w/ The Trade Desk,22
533,Tradelab (FR) w/AppNexus,2
534,Tradelab (FR) w/ DBM,415
535,Traffic4u w/Adform,4
536,Traffic Media Solutions- SL (T2O) w/DBM,1040
537,travelaudience,838
538,TravelClick w/DBM,335
539,Triapodi Ltd.,108
540,TripAdvisor w/DBM,383
541,TripleLift (EB),153460
542,TTD_US_Publicis,322
543,Turk Telecom w/bidswitch,11
544,TVTY w/AppNexus,6
545,UNIFIED w/ DBM,391
546,Unique,1
547,Universal Mc Cann (IL) w/ DBM,218
548,Universo Online w/ ASAPCODE (BR),16
549,Value Media (PL) w/ DBM,54
