,advertiser,devicecategory,count
1536,Beall's Department Stores,Tablet,2
1537,Beardbrand.com/Beard-Oil,Smartphone,1
1538,Beate Uhse Group,Desktop,1
1539,Beate Uhse Group,Smartphone,1
1540,Beauty Bay,Desktop,30
1541,Beauty Bay,Smartphone,145
1542,Beauty Bay,Tablet,14
1543,Beauty Coiffure SARL,Desktop,2
1544,Beauty Coiffure SARL,Smartphone,12
1545,Beauty Encounter,Desktop,6
1546,Beauty Encounter,Smartphone,4
1547,Beazer Homes USA,Smartphone,5
1548,bebe,Smartphone,3
1549,Becton- Dickinson & Company,Desktop,26
1550,Becton- Dickinson & Company,Smartphone,10
1551,Becton- Dickinson & Company,Tablet,3
1552,Bed Bath & Beyond,Desktop,36
1553,Bed Bath & Beyond,Smartphone,33
1554,Bed Bath & Beyond,Tablet,1
1555,Bed Bug Bully,Desktop,9
1556,Bed Bug Bully,Smartphone,6
1557,BedInABox,Smartphone,2
1558,BEDS & BARS LTD,Tablet,2
1559,BeenVerified,Desktop,5
1560,BeenVerified,Smartphone,136
1561,BeenVerified,Tablet,2
1562,BE FORWARD,Desktop,634
1563,BE FORWARD,Smartphone,530
1564,BE FORWARD,Tablet,18
1565,BE FORWARD CO.LTD.,Smartphone,10
1566,Beijing Kunlun Wanwei Technology,Smartphone,13
1567,Beijing New Oriental Education & Technologies,Desktop,29
1568,Beijing Xike outdoor products Co.,Connected TV,121
1569,Beijing Xike outdoor products Co.,Desktop,94043
1570,Beijing Xike outdoor products Co.,Smartphone,47325
1571,Beijing Xike outdoor products Co.,Tablet,64120
1572,Be Irresistible,Desktop,8
1573,Be Irresistible,Smartphone,156
1574,Be Irresistible,Tablet,20
1575,Bel,Desktop,4
1576,Bel,Smartphone,4
1577,Belcorp,Smartphone,2
1578,Beleza na Web,Desktop,14
1579,Beleza na Web,Smartphone,15
1580,Beleza na Web,Tablet,1
1581,Belfius,Desktop,8
1582,Belfius,Smartphone,265
1583,Belfius,Tablet,4
1584,Belgacom,Desktop,211
1585,Belgacom,Smartphone,76
1586,Belgacom,Tablet,63
1587,Belgian Government,Desktop,14
1588,Belgian Government,Smartphone,35
1589,Belgian Government,Tablet,10
1590,Belgravia Centre,Desktop,21
1591,Belgravia Centre,Smartphone,4
1592,Bel Group,Desktop,44
1593,Bel Group,Smartphone,53
1594,Bel Group,Tablet,13
1595,Belhaven University,Smartphone,7
1596,Belk,Desktop,3
1597,Belk,Smartphone,84
1598,Belk,Tablet,5
1599,Belkin International- Inc.,Smartphone,2
1600,Belkin International- Inc.,Tablet,1
1601,Bellabeat 102137811,Smartphone,5
1602,Bellabeat 102137811,Tablet,1
1603,Bellco,Desktop,3
1604,Bellco,Smartphone,9
1605,Bellroy,Connected TV,8
1606,Bellroy,Desktop,4930
1607,Bellroy,Smartphone,3022
1608,Bellroy,Tablet,4876
1609,Bellstar Hotels and Resorts,Desktop,8
1610,Bellstar Hotels and Resorts,Smartphone,2
1611,Bellstar Hotels and Resorts,Tablet,3
1612,Belluna Co.- Ltd,Desktop,2
1613,Belluna Co.- Ltd,Smartphone,1
1614,Belred,Desktop,4301
1615,Belred,Smartphone,2023
1616,Belred,Tablet,8311
1617,Belvoir Associates,Smartphone,100
1618,Belvoir Associates,Tablet,4
1619,Bemol,Desktop,1
1620,Bemol,Smartphone,1
1621,Bench - Freemark Apparel Brands,Desktop,4
1622,Bench - Freemark Apparel Brands,Smartphone,9
1623,Bench - Freemark Apparel Brands,Tablet,4
1624,Benchmark Brands,Smartphone,1
1625,Bendigo & Adelaide Bank,Desktop,1
1626,Bendigo & Adelaide Bank,Smartphone,3
1627,Bendigo & Adelaide Bank,Tablet,1
1628,Benenden Healthcare,Desktop,3
1629,Benenden Healthcare,Smartphone,4
1630,Benenden Healthcare,Tablet,4
1631,Benesse,Desktop,20
1632,Benesse,Smartphone,43
1633,Benesse,Tablet,5
1634,Benetton Group,Desktop,20
1635,Benetton Group,Smartphone,45
1636,Benetton Group,Tablet,4
1637,Bennett Coleman & Co.,Desktop,30
1638,Bennett Coleman & Co.,Smartphone,529
1639,Bennett Coleman & Co.,Tablet,1
1640,Bentley Leathers Inc,Desktop,4
1641,Bentley Leathers Inc,Smartphone,5
1642,Bentley Leathers Inc,Tablet,1
1643,Bentley Systems,Desktop,19
1644,Bentley Systems,Tablet,1
1645,Benz Travel,Desktop,4
1646,Bergamot Developments SRL,Tablet,1
1647,Bergendahl & Son AB,Desktop,4
1648,Bergendahl & Son AB,Smartphone,14
1649,Bergendahl & Son AB,Tablet,3
1650,Bergfreunde GmbH,Desktop,225
1651,Bergfreunde GmbH,Smartphone,171
1652,Bergfreunde GmbH,Tablet,86
1653,Berkeley College,Desktop,1
1654,Berkel International,Desktop,2
1655,Berkel International,Smartphone,2
1656,Berkel International,Tablet,7
1657,Berklee College of Music,Desktop,4
1658,Berklee College of Music,Smartphone,15
1659,Berklee College of Music,Tablet,1
1660,Berkshire Hathaway,Desktop,497
1661,Berkshire Hathaway,Smartphone,2912
1662,Berkshire Hathaway,Tablet,436
1663,Bernard Group,Desktop,4
1664,Berrett Brothers,Smartphone,2
1665,Berricle,Smartphone,4
1666,Berrybenka,Desktop,1
1667,Berrybenka,Smartphone,2
1668,Bertelsmann,Desktop,40
1669,Bertelsmann,Smartphone,162
1670,Bertelsmann,Tablet,19
1671,Beslist.nl,Desktop,101
1672,Beslist.nl,Smartphone,70
1673,Beslist.nl,Tablet,19
1674,Best Buy,Desktop,1241
1675,Best Buy,Smartphone,2621
1676,Best Buy,Tablet,1151
1677,Best Day Travel Group,Desktop,14
1678,Best Day Travel Group,Tablet,2
1679,Bestseller,Desktop,59
1680,Bestseller,Smartphone,39
1681,Bestseller,Tablet,5
1682,Best Western,Desktop,111
1683,Best Western,Smartphone,25
1684,Best Western,Tablet,48
1685,Betabrand,Smartphone,12
1686,Betabrand,Tablet,1
1687,Bethpage Federal Credit Union,Desktop,1
1688,Beto Carrero World,Desktop,1
1689,Betsson Group,Desktop,182
1690,Betsson Group,Smartphone,181
1691,Betsson Group,Tablet,27
1692,Better Bathroom,Desktop,5
1693,Better Bathroom,Smartphone,8
1694,Better Bathroom,Tablet,2
1695,Better Business Bureaus,Desktop,14
1696,Better Business Bureaus,Smartphone,29
1697,Better Group Inc.,Desktop,3
1698,Better Group Inc.,Smartphone,12
1699,Better Group Inc.,Tablet,1
1700,Bettys & Taylors Of Harrogate,Smartphone,188
1701,Betway Group,Connected TV,1
1702,Betway Group,Desktop,1320
1703,Betway Group,Smartphone,2827
1704,Betway Group,Tablet,652
1705,Beverly Glen Laboratories,Smartphone,1
1706,Bexley,Desktop,9
1707,Bexley,Smartphone,2
1708,Bexley,Tablet,4
1709,Beyond Blue,Desktop,5
1710,Beyond Blue,Smartphone,4
1711,Beyond Blue,Tablet,2
1712,Beyond.com- Inc.,Smartphone,1
1713,Beyoung,Smartphone,2
1714,Beyzam.com,Desktop,1
1715,Beyzam.com,Smartphone,5
1716,bfu CH,Desktop,8
1717,bfu CH,Smartphone,4
1718,bfu CH,Tablet,1
1719,BGL Group,Desktop,73
1720,BGL Group,Smartphone,28
1721,BGL Group,Tablet,44
1722,Bharti,Smartphone,77
1723,Bharti,Tablet,3
1724,B&H Photo Video,Desktop,51
1725,B&H Photo Video,Smartphone,51
1726,B&H Photo Video,Tablet,7
1727,BH Supplies Pty Ltd,Smartphone,1
1728,Bianchi,Desktop,1
1729,Bianchi,Smartphone,3
1730,Bianchi,Tablet,1
1731,Bic Camera,Desktop,2
1732,BIC Group,Desktop,12
1733,BIC Group,Smartphone,61
1734,BIC Group,Tablet,16
1735,Bidoo,Desktop,34
1736,Bidoo,Smartphone,8
1737,Bidoo,Tablet,3
1738,BidorBuy,Desktop,36
1739,BidorBuy,Smartphone,59
1740,BidorBuy,Tablet,8
1741,Bidvest Group,Desktop,72
1742,Bidvest Group,Smartphone,81
1743,Bidvest Group,Tablet,177
1744,Bien Manger,Desktop,1
1745,Big Ass Solutions,Desktop,1
1746,Big Ass Solutions,Smartphone,5
1747,Big Brothers Big Sisters Of America,Desktop,36
1748,Big Brothers Big Sisters Of America,Smartphone,38
1749,BigCommerce,Desktop,86
1750,BigCommerce,Smartphone,39
1751,BigCommerce,Tablet,17
1752,Bigdug,Desktop,92
1753,Bigdug,Smartphone,20
1754,Bigdug,Tablet,7
1755,Bike Bandit,Smartphone,1
1756,Bike O & Company,Smartphone,1
1757,BikeStop.co.uk/AGVHelmetSale-75816025,Desktop,745
1758,BikeStop.co.uk/AGVHelmetSale-75816025,Smartphone,1016
1759,BikeStop.co.uk/AGVHelmetSale-75816025,Tablet,788
1760,Bilia,Smartphone,1
1761,Billabong International,Desktop,348
1762,Billabong International,Smartphone,100
1763,Billabong International,Tablet,23
1764,Bill & Melinda Gates Foundation,Smartphone,48
1765,Bill & Melinda Gates Foundation,Tablet,2
1766,Bilna,Smartphone,1
1767,Biltema,Desktop,8
1768,Biltema,Smartphone,160
1769,Biltema,Tablet,112
1770,Biltmore Hotel,Smartphone,3
1771,BinckBank,Desktop,1
1772,BinckBank,Smartphone,1
1773,Bing Lee Electrics,Desktop,10
1774,Bing Lee Electrics,Smartphone,5
1775,Bing Lee Electrics,Tablet,1
1776,Bingo Godz,Desktop,3
1777,Bingo Godz,Smartphone,24
1778,Bingo Godz,Tablet,2
1779,Biogen,Desktop,6
1780,Biogen,Smartphone,272
1781,Biogen,Tablet,368
1782,Biosante Editions,Desktop,37
1783,Biosante Editions,Smartphone,12
1784,Biosante Editions,Tablet,4
1785,Biossun,Smartphone,1
1786,Biossun,Tablet,1
1787,Biotrust Nutrition,Desktop,1
1788,birchbox,Desktop,2
1789,birchbox,Smartphone,7
1790,Birdsnest,Desktop,95
1791,Birdsnest,Smartphone,54
1792,Birdsnest,Tablet,18
1793,Birevim,Smartphone,3
1794,Birkenstock,Desktop,1
1795,Birkenstock,Smartphone,22
1796,Birkenstock,Tablet,1
1797,Bisk Education,Smartphone,6
1798,BitDefender,Desktop,738
1799,BitDefender,Smartphone,2
1800,Bizreach,Desktop,2
1801,Biztree,Desktop,27
1802,Biztree,Smartphone,3
1803,Bjorn Borg,Smartphone,2
1804,BJs Restaurants,Smartphone,15
1805,BJs Restaurants,Tablet,1
1806,blablacar,Desktop,2
1807,blablacar,Smartphone,24
1808,Blackbaud,Desktop,169
1809,Blackbaud,Smartphone,31
1810,Blackbaud,Tablet,4
1811,BlackBerry Limited,Smartphone,4
1812,blackdesertonline.com,Connected TV,3
1813,blackdesertonline.com,Desktop,115
1814,blackdesertonline.com,Smartphone,736
1815,blackdesertonline.com,Tablet,183
1816,Black Diamond Sports-nameconflict1,Desktop,36
1817,Black Diamond Sports-nameconflict1,Smartphone,3
1818,Blackmon Mooring,Smartphone,3
1819,Black Red White,Smartphone,2
1820,BlackRock,Desktop,3
1821,BlackRock,Smartphone,6
1822,Blain Supply,Smartphone,3
1823,Blancheporte,Desktop,11
1824,Blancheporte,Smartphone,2
1825,Blancheporte,Tablet,2
1826,blanja.com,Desktop,24
1827,blanja.com,Smartphone,172
1828,Blenheim Chalcot,Smartphone,5
1829,Blinds 2go,Desktop,1139
1830,Blinds 2go,Smartphone,2603
1831,Blinds 2go,Tablet,672
1832,Blink Health,Desktop,318
1833,Blink Health,Tablet,2
1834,blogs.sph.harvard.edu/ashish-jha/,Desktop,27
1835,blogs.sph.harvard.edu/ashish-jha/,Smartphone,15
1836,Blokker Holding,Smartphone,3
1837,Bloomberg L.P.,Desktop,5
1838,Bloomberg L.P.,Smartphone,3
1839,Bloomex,Smartphone,4
1840,Bloomin' Brands,Desktop,28
1841,Bloomin' Brands,Smartphone,418
1842,Bloomin' Brands,Tablet,26
1843,Blucora,Desktop,3
1844,Blucora,Smartphone,6
1845,Blu Dot,Smartphone,8
1846,Blue Apron Holdings,Smartphone,5
1847,BlueBet,Desktop,1
1848,BlueBet,Smartphone,78
1849,Blue City,Desktop,1
1850,Blue Cross Blue Shield Association,Desktop,20
1851,Blue Cross Blue Shield Association,Smartphone,83
1852,Blue Cross Blue Shield Association,Tablet,4
1853,Blue Diamond Growers,Desktop,6
1854,Blue Diamond Growers,Smartphone,13
1855,Blue Diamond Growers,Tablet,2
1856,Bluegreen Communities,Smartphone,1
1857,Bluegreen Vacations Unlimited,Smartphone,9
1858,Blue Jeans Network,Desktop,6
1859,Blue Jeans Network,Smartphone,3
1860,Blue Nile,Desktop,13
1861,Blue Nile,Smartphone,178
1862,Blue Nile,Tablet,10
1863,Blue Prism,Smartphone,10
1864,Blue Ribbon Intermediate Holdings,Desktop,1
1865,Bluesky Interactive,Desktop,1
1866,Bluesky Interactive,Smartphone,31
1867,Bluesky Interactive,Tablet,8
1868,Bluespace,Desktop,12
1869,Bluespace,Smartphone,3
1870,Bluespace,Tablet,6
1871,Bluestem Brands- Inc,Desktop,6
1872,Bluestem Brands- Inc,Smartphone,53
1873,Bluestem Brands- Inc,Tablet,8
1874,BlueStep,Smartphone,2
1875,Bluestone Resorts Ltd,Desktop,82
1876,Bluestone Resorts Ltd,Smartphone,195
1877,Bluestone Resorts Ltd,Tablet,76
1878,Blue Sun Tree,Smartphone,5
1879,Blue Sun Tree,Tablet,11
1880,Blue Tomato,Desktop,57
1881,Blue Tomato,Smartphone,56
1882,Blue Tomato,Tablet,3
1883,Blu Homes,Smartphone,2
1884,Blurb,Desktop,2
1885,Blurb,Smartphone,1
1886,Blyth,Desktop,7
1887,Blyth,Smartphone,21
1888,Blyth,Tablet,1
1889,BMC Software,Desktop,1
1890,BMO Financial Group,Desktop,210
1891,BMO Financial Group,Smartphone,69
1892,BMO Financial Group,Tablet,25
1893,BMW Dealers,Desktop,12
1894,BMW Dealers,Smartphone,12
1895,BMW Group,Desktop,404
1896,BMW Group,Smartphone,2099
1897,BMW Group,Tablet,444
1898,BNP Paribas,Desktop,99
1899,BNP Paribas,Smartphone,104
1900,BNP Paribas,Tablet,42
1901,Bo Ai Medical Group,Desktop,2
1902,Bobshop,Desktop,1
1903,Bob's Red Mill Natural Foods,Smartphone,13
1904,Bob's Watches,Desktop,3
1905,Bob's Watches,Smartphone,4
1906,BoConcept,Desktop,1
1907,BoConcept,Smartphone,18
1908,BoConcept,Tablet,1
1909,BodyFokus,Desktop,1
1910,BodyFokus,Tablet,8
1911,Boehringer Ingelheim,Desktop,177
1912,Boehringer Ingelheim,Smartphone,212
1913,Boehringer Ingelheim,Tablet,22
1914,Boeing,Desktop,2
1915,boesner GmbH,Desktop,1
1916,boesner GmbH,Tablet,2
1917,BofI Federal Bank,Desktop,2
1918,BofI Federal Bank,Smartphone,2
1919,Bofrost Dienstleistungs,Desktop,2
1920,Bofrost Dienstleistungs,Smartphone,5
1921,Bogner,Desktop,17
1922,Bogner,Smartphone,10
1923,Bogner,Tablet,8
1924,Boiler Juice,Desktop,1
1925,Boiler Juice,Smartphone,12
1926,Boiler Juice,Tablet,3
1927,Boiron,Desktop,2
1928,Boiron,Smartphone,4
1929,BOK Financial,Smartphone,7
1930,Boll & Branch,Smartphone,12
1931,Bolton Group,Desktop,5
1932,Bolton Group,Smartphone,8
1933,Bombardier,Desktop,4
1934,Bombardier,Smartphone,10
1935,Bombardier,Tablet,1
1936,Bombardier Recreational Products,Desktop,5
1937,Bombardier Recreational Products,Smartphone,13
1938,Bombardier Recreational Products,Tablet,45
1939,Bonanza,Smartphone,7
1940,Bonati Spine Institute,Smartphone,1
1941,Bonduelle,Desktop,25
1942,Bonduelle,Tablet,3
1943,Bonnier,Desktop,26
1944,Bonnier,Smartphone,35
1945,Bonnier,Tablet,4
1946,Bon Voyage,Smartphone,5
1947,Boodai Group,Smartphone,1
1948,Booking Holdings,Connected TV,1
1949,Booking Holdings,Desktop,4071
1950,Booking Holdings,Smartphone,9385
1951,Booking Holdings,Tablet,1190
1952,BookIt.com,Desktop,13
1953,BookIt.com,Smartphone,38
1954,BookOff,Desktop,6
1955,Book of Mormon,Smartphone,10
1956,Book of Mormon,Tablet,2
1957,BookVIP.com,Smartphone,1
1958,Bookzz Holdings Limited,Desktop,15
1959,Bookzz Holdings Limited,Smartphone,2
1960,Boot Barn,Desktop,3
1961,Boot Barn,Smartphone,8
1962,Boot Barn,Tablet,2
1963,Boozt,Desktop,297
1964,Boozt,Smartphone,178
1965,Boozt,Tablet,51
1966,Bosch Group,Desktop,1215
1967,Bosch Group,Smartphone,484
1968,Bosch Group,Tablet,239
1969,Boscov's,Smartphone,8
1970,Boscov's,Tablet,2
1971,Bose,Desktop,275
1972,Bose,Smartphone,84
1973,Bose,Tablet,40
1974,Bosley Medical,Smartphone,2
1975,Boston Scientific,Desktop,2
1976,Boston Scientific,Smartphone,5
1977,Boston Scientific,Tablet,1
1978,Boston University,Desktop,9
1979,Boston University,Smartphone,13
1980,Boston University,Tablet,1
1981,Bouclair,Desktop,75
1982,Bouclair,Smartphone,32
1983,Bouclair,Tablet,9
1984,Bourne Leisure,Desktop,12
1985,Bourne Leisure,Smartphone,12
1986,Bourne Leisure,Tablet,6
1987,Bouygues,Desktop,19
1988,Bouygues,Smartphone,332
1989,Bouygues,Tablet,4
1990,Bovis Homes,Smartphone,2
1991,Boxed,Desktop,3
1992,Boxed,Smartphone,3
1993,Box.net,Desktop,2
1994,Boyd Creative,Desktop,1
1995,Boyd Creative,Smartphone,14
1996,Boyd Gaming,Desktop,13
1997,Boyd Gaming,Smartphone,41
1998,Boyd Gaming,Tablet,11
1999,Boyner Group,Desktop,94
2000,Boyner Group,Smartphone,32
2001,Boyner Group,Tablet,6
2002,BP,Desktop,80
2003,BP,Smartphone,729
2004,BP,Tablet,6
2005,BPM Group,Desktop,3
2006,BPS Access Solutions,Desktop,20
2007,BPS Access Solutions,Smartphone,18
2008,BPS Access Solutions,Tablet,8
2009,Bradesco,Desktop,33
2010,Bradesco,Smartphone,11
2011,Bradford Group,Desktop,36
2012,Bradford Group,Smartphone,20
2013,Bradford Group,Tablet,10
2014,Brady Corporation,Desktop,8
2015,Brady Corporation,Smartphone,2
2016,Braganza AB,Desktop,1
2017,Braganza AB,Smartphone,2
2018,Brain4ce Education Solutions,Desktop,40
2019,Brain4ce Education Solutions,Smartphone,80
2020,Brain4ce Education Solutions,Tablet,2
2021,BrandAlley,Desktop,92
2022,BrandAlley,Smartphone,701
2023,BrandAlley,Tablet,256
2024,Brandman University,Smartphone,2
2025,Brand USA,Desktop,1
2026,Brand USA,Smartphone,14
2027,Brasforma,Desktop,1
2028,Brastop,Desktop,13
2029,Brastop,Smartphone,84
2030,Brastop,Tablet,9
2031,Brault & Martineau,Desktop,1
2032,Brault & Martineau,Smartphone,1
2033,Brault & Martineau,Tablet,1
2034,braunps.co.kr,Desktop,32
2035,braunps.co.kr,Smartphone,6
2036,braunps.co.kr,Tablet,18
2037,Brax Store,Desktop,2
2038,Brax Store,Smartphone,8
2039,Brax Store,Tablet,1
2040,BRAZECO,Desktop,5
2041,BRAZECO,Smartphone,2
2042,BRAZECO,Tablet,1
2043,Breckenridge Tourism Office,Smartphone,14
2044,Breckenridge Tourism Office,Tablet,1
2045,BREE Collection,Smartphone,43
2046,Brenau University,Smartphone,22
2047,Brentwood Associates,Desktop,24
2048,Brentwood Associates,Smartphone,8
2049,Brentwood Associates,Tablet,4
2050,Breuninger Kaufhaus,Desktop,101
2051,Breuninger Kaufhaus,Smartphone,37
2052,Breuninger Kaufhaus,Tablet,13
2053,BRF S.A.,Desktop,3
2054,BRF S.A.,Smartphone,3
2055,bric-investment,Desktop,3
2056,bric-investment,Smartphone,10
2057,bric-investment,Tablet,1
2058,Bricoflor,Desktop,2
2059,Bricozor,Desktop,2
2060,Bricozor,Smartphone,2
2061,Bridgepoint Capital,Desktop,71
2062,Bridgepoint Capital,Smartphone,371
2063,Bridgepoint Capital,Tablet,118
2064,Bridgepoint Education,Desktop,148
2065,Bridgepoint Education,Smartphone,10
2066,Bridgepoint Education,Tablet,2
2067,Bridgestone Corporation,Desktop,164
2068,Bridgestone Corporation,Smartphone,3
2069,Bridgestone Corporation,Tablet,19
2070,Brigade Group,Connected TV,1
2071,Brigade Group,Desktop,129
2072,Brigade Group,Smartphone,26
2073,Brigade Group,Tablet,94
2074,Brightcove,Desktop,1
2075,Bright E-Ventures,Desktop,10
2076,Bright E-Ventures,Smartphone,1
2077,Bright Lifecare Private,Desktop,4
2078,Bright Lifecare Private,Smartphone,19
2079,Bright Lifecare Private,Tablet,6
2080,Bright Light Smile,Desktop,3
2081,Brighton,Desktop,5
2082,Brighton,Smartphone,1
2083,Brightspark,Desktop,24
2084,Brightspark,Smartphone,77
2085,Brightspark,Tablet,10
2086,BrightStarr US LLC,Smartphone,3
2087,BrightStarr US LLC,Tablet,2
2088,Brilliant Earth,Connected TV,1
2089,Brilliant Earth,Desktop,317
2090,Brilliant Earth,Smartphone,950
2091,Brilliant Earth,Tablet,150
2092,Brinker International,Desktop,1
2093,Brinker International,Smartphone,29
2094,Brisbane Airport,Desktop,2
2095,Brisbane Airport,Smartphone,9
2096,Brisbane Airport,Tablet,6
2097,bristol childcare ltd,Tablet,1
2098,Bristol-Myers Squibb,Smartphone,5
2099,Britannia Industries,Smartphone,5
2100,British American Tobacco,Desktop,12
2101,British American Tobacco,Smartphone,5
2102,British American Tobacco,Tablet,4
2103,British Car Auctions,Desktop,1
2104,British Car Auctions,Smartphone,73
2105,British Cycling,Desktop,4
2106,British Cycling,Smartphone,45
2107,British Heart Foundation - bhf.org.uk,Desktop,232
2108,British Heart Foundation - bhf.org.uk,Smartphone,574
2109,British Heart Foundation - bhf.org.uk,Tablet,123
2110,Brittany Ferries,Connected TV,1
2111,Brittany Ferries,Desktop,302
2112,Brittany Ferries,Smartphone,334
2113,Brittany Ferries,Tablet,132
2114,Britvic,Desktop,15
2115,Britvic,Smartphone,430
2116,Britvic,Tablet,7
2117,Broadmoor Hotel,Desktop,3
2118,Broadmoor Hotel,Smartphone,1
2119,Broadmoor Hotel,Tablet,4
2120,Broadridge Financial Solutions,Smartphone,2
2121,Broadsword Network Ltd,Desktop,6
2122,Broadsword Network Ltd,Smartphone,9
2123,Broadsword Network Ltd,Tablet,1
2124,Brocade,Desktop,1
2125,Brocade,Tablet,1
2126,Bronson Healthcare,Smartphone,7
2127,Brookfield Asset Management,Smartphone,12
2128,Brookfield Asset Management,Tablet,1
2129,Brooklinen,Smartphone,3
2130,Brooklyn Bedding,Desktop,1
2131,Brooklyn Bedding,Smartphone,26
2132,Brother,Connected TV,1
2133,Brother,Desktop,495
2134,Brother,Smartphone,208
2135,Brother,Tablet,187
2136,Browns Shoes,Desktop,76
2137,Browns Shoes,Smartphone,32
2138,Browns Shoes,Tablet,17
2139,Brunel University,Desktop,3
2140,Brunel University,Smartphone,6
2141,Brunel University,Tablet,1
2142,BRUNO DE ANTONI & CIA LTDA,Smartphone,1
2143,Brunswick News,Desktop,1
2144,Brunswick News,Smartphone,1
2145,Bryant & Stratton College,Smartphone,2
2146,B&S PRODUCTS,Desktop,3
2147,B&S PRODUCTS,Smartphone,10
2148,B&S PRODUCTS,Tablet,2
2149,BSR Group,Smartphone,4
2150,BT Group,Desktop,2281
2151,BT Group,Smartphone,3095
2152,BT Group,Tablet,665
2153,Buckle,Smartphone,72
2154,Budget Blinds,Desktop,52
2155,Budget Blinds,Smartphone,49
2156,Budget Blinds,Tablet,25
2157,Budget Car Sales,Tablet,1
2158,Bugaboo 47792753,Desktop,10
2159,Bugaboo 47792753,Smartphone,149
2160,Bugaboo 47792753,Tablet,6
2161,bugatti fashion,Desktop,1
2162,Build-A-Bear Workshop,Desktop,242
2163,Build-A-Bear Workshop,Smartphone,187
2164,Build-A-Bear Workshop,Tablet,17
2165,Build A Sign,Desktop,1
2166,Build A Sign,Smartphone,8
2167,Bukalapak,Desktop,2
2168,Bukalapak,Smartphone,9
2169,Bulk Powders,Desktop,53
2170,Bulk Powders,Smartphone,95
2171,Bulk Powders,Tablet,6
2172,Bulk Reef Supply,Smartphone,3
2173,Bulletproof Digital,Desktop,1
2174,BullGuard,Desktop,6
2175,Bundesinnungskasse Gesundheit,Smartphone,6
2176,Bundesverband der Deutschen Volksbanken & Raiffeisenbanken,Desktop,21
2177,Bundesverband der Deutschen Volksbanken & Raiffeisenbanken,Smartphone,22
2178,Bundesverband der Deutschen Volksbanken & Raiffeisenbanken,Tablet,28
2179,Bundeswehr und Freizeitshop,Desktop,2
2180,Bundle Technologies,Smartphone,117
2181,bunq,Desktop,49
2182,bunq,Smartphone,101
2183,bunq,Tablet,34
2184,Bunzl,Desktop,200
2185,Bunzl,Smartphone,23
2186,Bunzl,Tablet,224
2187,Burlington Stores,Smartphone,4
2188,Bush Brothers & Company,Smartphone,13
2189,Bushiroad Media,Smartphone,1
2190,BusinessBroker.net,Smartphone,1
2191,Butik,Desktop,4
2192,Butik,Smartphone,2
2193,Butik,Tablet,1
2194,Butlers,Desktop,5
2195,Butlers,Smartphone,10
2196,Butlers,Tablet,3
2197,Butler University,Desktop,10
2198,Butler University,Smartphone,1
2199,Buydig.com,Smartphone,5
2200,BuyerZone.com- LLC,Smartphone,9
2201,BuzzBuzzHome,Desktop,19
2202,BuzzBuzzHome,Smartphone,6
2203,BuzzBuzzHome,Tablet,4
2204,Buzzfeed Inc.,Desktop,52
2205,Buzzfeed Inc.,Smartphone,1
2206,BVA Holding BV,Desktop,3
2207,BVA Holding BV,Tablet,1
2208,BWT Wassertechnik,Smartphone,1
2209,BYJU's Classes,Desktop,1
2210,BYJU's Classes,Smartphone,5
2211,BYJU's Classes,Tablet,1
2212,C1 Computer Pty Ltd,Smartphone,1
2213,Cabela's,Smartphone,49
2214,Cabela's,Tablet,2
2215,Cabiedes & Partners,Desktop,10
2216,Cabiedes & Partners,Smartphone,21
2217,Cabiedes & Partners,Tablet,2
2218,Cabinetparts.com,Smartphone,1
2219,Cable One,Smartphone,18
2220,Caboki,Smartphone,1
2221,Cadillac Dealers,Smartphone,9
2222,Cadillac Dealers,Tablet,4
2223,Caesars Entertainment,Desktop,31
2224,Caesars Entertainment,Smartphone,289
2225,Caesars Entertainment,Tablet,13
2226,Caesarstone,Desktop,3
2227,Caesarstone,Smartphone,1
2228,Caesarstone,Tablet,10
2229,Cafe Mom,Desktop,2
2230,CafePress,Desktop,8
2231,CafePress,Smartphone,2
2232,CafePress,Tablet,1
2233,Cafom,Desktop,98
2234,Cafom,Smartphone,27
2235,Cafom,Tablet,15
2236,CAI - Compagnia Aerea Italiana,Desktop,66
2237,CAI - Compagnia Aerea Italiana,Smartphone,424
2238,CAI - Compagnia Aerea Italiana,Tablet,33
2239,Cairo Communication,Desktop,4
2240,Cairo Communication,Smartphone,30
2241,Cairo Communication,Tablet,1
2242,Caisse Nationale Des Allocations Familiales,Desktop,2
2243,Cake Boy  ,Desktop,47
2244,Cake Boy  ,Smartphone,265
2245,Cake Boy  ,Tablet,18
2246,Cala Homes,Desktop,762
2247,Cala Homes,Smartphone,408
2248,Cala Homes,Tablet,242
2249,Calendars.com,Desktop,3
2250,Calendars.com,Smartphone,6
2251,Calendars.com,Tablet,1
2252,Caleres,Desktop,16
2253,Caleres,Smartphone,185
2254,Caleres,Tablet,8
2255,Calida Group,Desktop,17
2256,Calida Group,Smartphone,5
2257,California Closet Company,Desktop,3
2258,California Closet Company,Tablet,4
2259,California Commerce Club,Smartphone,2
2260,California Earthquake Authority,Desktop,1
2261,California Earthquake Authority,Smartphone,16
2262,California Earthquake Authority,Tablet,2
2263,California Lutheran University,Smartphone,3
2264,California Public Utilities Commission,Desktop,33
2265,California Public Utilities Commission,Smartphone,27
2266,California Public Utilities Commission,Tablet,3
2267,Callaway Golf,Desktop,7
2268,Callaway Golf,Smartphone,33
2269,Callaway Golf,Tablet,1
2270,Calor Gas,Desktop,84
2271,Calor Gas,Smartphone,40
